Budget_Name,Accounts,1722470400,1725148800,1727740800,1730419200,1733011200,1735689600,1738368000,1740787200,1743465600,1746057600,1748736000,1751328000
"AI/ML 169687112342,478981359011","169687112342,478981359011",32860,32988,33120,32824,32964,33109,32824,32824,32824,32824,32824,32824
Catalog/Governance/Lineage/DQ ,"027805479797,238199205698,536534220969,368426834578,880607122989,373349712788",41938,42101,42270,41892,42071,42257,41892,41892,41892,41892,41892,41892
CICD 394434065203,394434065203,13307,13359,13412,13292,13349,13408,13292,13292,13292,13292,13292,13292
"Data Office 433320668742,618185821897,420589891084,712793924559","433320668742,618185821897,420589891084,712793924559",35593,35732,35875,35554,35706,35863,35554,35554,35554,35554,35554,35554
Edge 812518410436,812518410436,9871,9909,9949,9860,9902,9946,9860,9860,9860,9860,9860,9860
Other,"890700223049,737111837958,237484440419,296802059073,673034861470,065208196529,224031308383,143818522632,989244606142,761142876647,029837526073,442333017153,490440002315,145404543625,192947763797,495335954839,429517109149,489682749286,548157575085,787142223301",40002,40158,40319,39958,40130,40306,39958,39958,39958,39958,39958,39958
Partnerships & Sales,"225899574061,644858511789,509181128901,851023352977,802357844274,482457381153",35999,36139,36284,35959,36113,36272,35959,35959,35959,35959,35959,35959
Sandbox 252639548458,252639548458,55432,55648,55870,55371,55608,55853,55371,55371,55371,55371,55371,55371
Platform Infrastructure 860302443858,860302443858,28465,28576,28690,28434,28556,28681,28434,28434,28434,28434,28434,28434
